query,correct_agent,difficulty,query_length,mentioned_tickers,has_attachment,attachment_type
Đánh giá giá trị nội tại TCB bằng phương pháp DCF,fundamental,medium,49,1,False,
"HDB vừa ra báo cáo tốt, chart có ủng hộ mua không?",fundamental,hard,50,1,False,
Filter cổ phiếu market cap trên 50 nghìn tỷ,screening,medium,43,0,False,
Những mã nào ngành Industrials có PE thấp nhất?,screening,medium,47,0,False,
Danh sách cổ phiếu có cổ tức cao nhất năm nay,screening,medium,45,0,False,
Volume profile PLX cho thấy vùng giá nào quan trọng?,technical,medium,52,1,False,
Recommend cổ phiếu phù hợp cho người mới,screening,hard,40,0,False,
Tỷ lệ ROE tăng trưởng của MWG trong 6 năm qua,fundamental,hard,45,1,False,
Phân tích chart pattern MWG - double top/bottom?,technical,medium,48,1,False,
Tìm cổ phiếu penny stock tiềm năng tăng giá,screening,medium,43,0,False,
EMA 6 ngày của REE trending up hay down?,technical,easy,40,1,False,
RSI của TCB đang ở vùng quá mua hay quá bán?,technical,hard,44,1,False,
"DGC PE thấp nhưng RSI cao, nên xử lý thế nào?",fundamental,hard,45,1,True,csv
Tìm mã ngành Utilities có fundamental tốt nhất để phân tích sâu,screening,hard,63,0,False,
RSI của NVL đang ở vùng quá mua hay quá bán?,technical,hard,44,1,False,
Tỷ suất cổ tức dividend yield của BID có hấp dẫn không?,fundamental,hard,55,1,False,
Phân tích chart pattern VRE - double top/bottom?,technical,medium,48,1,False,
Stochastic oscillator của MBB cho tín hiệu gì?,technical,easy,46,1,False,
Chỉ số EPS của VNM hiện tại là bao nhiêu?,fundamental,medium,41,1,True,
Cash flow từ hoạt động kinh doanh của SAB ra sao?,fundamental,easy,49,1,False,
Top cổ phiếu tăng giá mạnh nhất tháng qua,screening,hard,41,0,False,
Top cổ phiếu tăng giá mạnh nhất tháng qua,screening,hard,41,0,False,
Đường MA50 và MA200 của CTG đang thế nào?,technical,medium,41,1,False,
Khối lượng giao dịch FPT có tăng đột biến?,technical,medium,42,1,False,
Biểu đồ nến GVR tuần này có mẫu hình gì?,technical,hard,40,1,False,
Đề xuất portfolio 50 mã cho ngân sách 100 triệu,screening,hard,47,0,False,
Phân tích sức khỏe tài chính của FPT dựa trên balance sheet,fundamental,hard,59,1,False,
Phân tích sức khỏe tài chính của SAB dựa trên balance sheet,fundamental,hard,59,1,False,
Bollinger Bands của MWG đang co hẹp hay mở rộng?,technical,easy,48,1,False,
Xem báo cáo kết quả kinh doanh của VNM,fundamental,hard,38,1,False,
Gợi ý 50 cổ phiếu tốt nhất để đầu tư dài hạn,screening,hard,44,0,False,
Những mã nào ngành Technology có PE thấp nhất?,screening,hard,46,0,False,
Lọc cổ phiếu giá trị rồi phân tích báo cáo tài chính từng mã,screening,hard,60,0,False,
So sánh EPS của PNJ qua các quý gần đây,fundamental,easy,39,1,False,
HPG có đang bị định giá cao không? Xét EPS,fundamental,easy,42,1,False,
Điểm entry mua SAB theo phân tích kỹ thuật,technical,easy,42,1,False,
Cổ phiếu nào ngành Materials/Rubber đáng mua nhất?,screening,medium,50,0,False,
Biên lợi nhuận gross margin của VRE đang tăng hay giảm?,fundamental,hard,55,1,False,
Filter cổ phiếu market cap trên 6 nghìn tỷ,screening,hard,42,0,False,
So sánh hiệu suất các mã trong VN30,screening,medium,35,0,False,
Xếp hạng cổ phiếu ngành Technology theo vốn hóa,screening,hard,47,0,False,
Những mã nào ngành Industrials có PE thấp nhất?,screening,easy,47,0,False,
Những mã nào ngành Materials/Rubber có PE thấp nhất?,screening,hard,52,0,True,xlsx
Đường MA50 và MA200 của REE đang thế nào?,technical,medium,41,1,False,
Phân tích chart pattern PLX - double top/bottom?,technical,medium,48,1,True,xlsx
Đánh giá giá trị nội tại BID bằng phương pháp DCF,fundamental,medium,49,1,True,pdf
Filter cổ phiếu market cap trên 100 nghìn tỷ,screening,medium,44,0,False,
Tìm cổ phiếu penny stock tiềm năng tăng giá,screening,medium,43,0,False,
Phân tích chart pattern GAS - double top/bottom?,technical,easy,48,1,False,
Lọc top 200 cổ phiếu có P/E tốt nhất sàn HOSE,screening,medium,45,0,False,
Phân tích sức khỏe tài chính của BID dựa trên balance sheet,fundamental,easy,59,1,False,
So sánh VRE và GAS - mã nào tốt hơn?,screening,medium,36,2,False,
VPB có đang bị định giá cao không? Xét Revenue Growth,fundamental,medium,53,1,True,csv
Đánh giá giá trị nội tại MBB bằng phương pháp DCF,fundamental,medium,49,1,False,
Vùng hỗ trợ kháng cự của DGC ở đâu?,technical,medium,35,1,True,xlsx
Đề xuất portfolio 10 mã cho ngân sách 50 triệu,screening,medium,46,0,False,
MACD của VNM cho tín hiệu gì hiện tại?,technical,medium,38,1,False,
